,TargetID,TargetName,SMILES,AnalogSeriesID,pKi
1600,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)COc2cc3c(cn2)C(CNC3)c4ccc(c(c4)Cl)Cl,2718,7.89
1601,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)COc2cc3c(cn2)C(CNC3)c4ccc(cc4)OC,3266,8.4
1602,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Cc2c[nH]cn2,7836,7.2
1603,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)NC(=O)c2ccc(cc2)OC3CCN(CC3)C(C)C,19894,8.08
1604,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)NC(=O)c2ccc(cc2)OC3CCN(CC3)C4CCC4,19894,8.8
1605,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)NC(=O)c2ccc(cc2Cl)OC3CCN(CC3)C4CCC4,4731,8.15
1606,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)NC(=O)c2ccc(cc2F)OC3CCN(CC3)C(C)C,20215,7.94
1607,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Nc2c3cc(c(cc3nc(n2)N4CCC(CC4)(F)F)OCCCN5CCCC5)OC,22760,7.35
1608,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(c(c2)F)C(=O)NC3CCN(CC3)C4CCC4,20215,7.98
1609,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)C#N,21968,7.55
1610,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)C(CCN(C)C)Oc3ccccc3,12798,9.1
1611,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)C3=NN(C(=O)C4C3C4)C,4776,8.4
1612,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)C3=NNC(=O)C4C3C4,8186,8.04
1613,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)CN(C)C,21586,8.52
1614,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)CN(C)CCN(C)C,21586,8.94
1615,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)CN3CCC(CC3)CO,21586,9.0
1616,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)CN3CCC(CC3)O,21586,8.85
1617,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)CN3CCCC3,21586,8.71
1618,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)CN3CCCCC3,21586,9.2
1619,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)CN3CCCCCC3,21586,8.77
1620,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)CN3CCCN(CC3)C,21586,9.0
1621,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)CN3CCN(CC3)C,21586,9.13
1622,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)CN3CCN(CC3)Cc4ccccc4,21586,8.7
1623,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)CN3CCN(CC3)c4ccccc4,21586,8.7
1624,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)CN3CCOCC3,21586,8.67
1625,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)CNC3CC3,21586,8.79
1626,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)CNc3ccccc3,21586,8.26
1627,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)CNc3ccccn3,21586,8.65
1628,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)N3CCN(CC3=O)C(=O)c4cc(cc(c4)F)F,11561,8.7
1629,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)N3CCN(CC3=O)C(=O)c4ccc(cc4)C#N,11561,9.1
1630,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)N3CCN(CC3=O)C(=O)c4ccc(cc4)Cl,11561,8.6
1631,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)N3CCN(CC3=O)C(=O)c4ccc(cc4)F,11561,8.4
1632,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)N3CCN(CC3=O)C(=O)c4ccc(cc4F)F,11561,8.4
1633,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cc2)c3ccc(=O)n(n3)C,4271,8.04
1634,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc(cn2)c3ccc(=O)[nH]n3,3258,7.82
1635,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc([nH]3)C(=O)N4CCC(C4)O,11450,8.1
1636,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc([nH]3)C(=O)N4CCC(CC4)(F)F,11450,8.7
1637,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc([nH]3)C(=O)N4CCC(CC4)OC,11450,8.05
1638,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc([nH]3)C(=O)N4CCCC(C4)(F)F,11450,8.7
1639,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc([nH]3)C(=O)N4CCCCCC4,11450,8.22
1640,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc([nH]3)C(=O)N4CCOCC4,11450,8.3
1641,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc([nH]3)C(=O)N4CCS(=O)(=O)CC4,11450,8.15
1642,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc(n3C(=O)C)C(=O)N4CCC(CC4)(F)F,11450,7.89
1643,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc(n3CC#N)C(=O)N4CCC(CC4)(F)F,11450,8.52
1644,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc(n3CC(F)(F)F)C(=O)N4CCC(CC4)(F)F,11450,8.52
1645,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc(n3CC(F)(F)F)C(=O)N4CCOCC4,11450,8.52
1646,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc(n3CC(F)(F)F)C(=O)N4CCS(=O)(=O)CC4,11450,7.96
1647,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc(n3S(=O)(=O)C)C(=O)N4CCC(CC4)(F)F,11450,8.52
1648,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc(n3S(=O)(=O)c4ccc(cc4)F)C(=O)N5CCC(CC5)(F)F,11450,8.7
1649,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc4n3CCCN(C4=O)CC5CC5,20748,7.77
1650,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc4n3CCCNC4=O,20748,7.77
1651,CHEMBL264,Histamine H3 receptor,CC(C)N1CCC(CC1)Oc2ccc3c(c2)cc4n3CCN(C4=O)C,6039,7.51
